,Order Number,Finished Good,Order Size,Item_Number,Quantity,Shared_parts
453,60,1,4,000000000031503985,1,.
454,60,1,4,PROC10204,2,2
455,60,1,4,000000000031034776,1,.
456,60,1,4,PROC2237,1,.
457,60,1,4,PROC7029,1,.
458,60,1,4,000000000031045548,2,2
459,60,1,4,000000000031045550,2,2
460,60,1,4,000000000031034609,1,.
461,60,1,4,000000000067000739,1,.
462,60,1,4,PROC2802,1,.
463,60,1,4,000000000031037296,1,.
464,60,1,4,SP10G00161,1,.
465,60,1,4,PROC8213,2,3
466,60,1,4,SL10F25678,1,.
467,60,1,4,SPP0G54600,1,.
468,60,1,4,PROC8215,2,4
469,60,1,4,SA70K11490,2,2
470,60,1,4,PROC1811,1,.
471,60,1,4,PROC9106,2,2
472,60,1,4,SSW0K51546,2,2
473,60,1,4,SPP0G54610,1,.
474,60,1,4,PROC9203,2,2
475,60,1,4,PROC12008,1,.
476,60,1,4,SSW0N27927,2,4
477,60,1,4,SSW0N29515,1,.
478,60,1,4,SPP0G98370,1,.
479,60,1,4,PROC1811,2,2
480,60,1,4,PROC10224,1,.
481,61,1,4,000000000000008820,1,.
482,61,1,4,SSW0G43707,2,2
483,61,1,4,SSW0G44348,2,3
484,61,1,4,SSW0G44670,1,.
485,61,1,4,SSW0K51133,2,2
486,61,1,4,SSW0K51575,1,.
487,61,1,4,SSW0G44392,2,4
488,61,1,4,000000000031028776,1,.
489,61,1,4,000000000031040179,2,5
490,61,1,4,000000000031503985,1,.
491,61,1,4,PROC10204,2,2
492,61,1,4,000000000031034776,1,.
493,61,1,4,PROC2237,1,.
494,61,1,4,PROC7029,1,.
495,61,1,4,000000000031045548,2,2
496,61,1,4,000000000031045550,2,2
497,61,1,4,000000000031034609,1,.
498,61,1,4,000000000067000739,1,.
499,61,1,4,PROC2802,1,.
500,61,1,4,000000000031037296,1,.
501,61,1,4,SP10G00161,1,.
502,61,1,4,PROC8213,2,3
503,61,1,4,SL10F25678,1,.
504,61,1,4,SPP0G54600,1,.
505,61,1,4,PROC8215,2,4
506,61,1,4,SA70K11490,2,2
507,61,1,4,PROC1811,1,.
508,61,1,4,PROC9106,2,2
509,61,1,4,SSW0K51546,2,2
510,61,1,4,SPP0G54610,1,.
511,61,1,4,PROC9203,2,2
512,61,1,4,PROC12008,1,.
513,61,1,4,SSW0N27927,2,4
514,61,1,4,SSW0N29515,1,.
515,61,1,4,SPP0G98370,1,.
516,61,1,4,PROC1811,2,2
517,61,1,4,PROC10224,1,.
518,67,1,3,000000000000008820,1,.
519,67,1,3,SSW0G43707,2,2
520,67,1,3,SSW0G44348,2,3
521,67,1,3,SSW0G44670,1,.
522,67,1,3,SSW0K51133,2,2
523,67,1,3,SSW0K51575,1,.
524,67,1,3,SSW0G44392,2,4
525,67,1,3,000000000031028776,1,.
526,67,1,3,000000000031040179,2,5
527,67,1,3,000000000031503985,1,.
528,67,1,3,PROC10204,2,2
529,67,1,3,000000000031034776,1,.
530,67,1,3,PROC2237,1,.
531,67,1,3,PROC7029,1,.
532,67,1,3,000000000031045548,2,2
533,67,1,3,000000000031045550,2,2
534,67,1,3,000000000031034609,1,.
535,67,1,3,000000000067000739,1,.
536,67,1,3,PROC2802,1,.
537,67,1,3,000000000031037296,1,.
538,67,1,3,SP10G00161,1,.
539,67,1,3,PROC8213,2,3
540,67,1,3,SL10F25678,1,.
541,67,1,3,SPP0G54600,1,.
542,67,1,3,PROC8215,2,4
543,67,1,3,SA70K11490,2,2
544,67,1,3,PROC1811,1,.
545,67,1,3,PROC9106,2,2
546,67,1,3,SSW0K51546,2,2
547,67,1,3,SPP0G54610,1,.
548,67,1,3,PROC9203,2,2
549,67,1,3,PROC12008,1,.
550,67,1,3,SSW0N27927,2,4
551,67,1,3,SSW0N29515,1,.
552,67,1,3,SPP0G98370,1,.
553,67,1,3,PROC1811,2,2
554,67,1,3,PROC10224,1,.
555,75,1,3,000000000000008820,1,.
556,75,1,3,SSW0G43707,2,2
557,75,1,3,SSW0G44348,2,3
558,75,1,3,SSW0G44670,1,.
